,US,,,,
"Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",86,283,802,1,283.4928069
,114,397,803,2,0
,83,546,804,0,0
Berries Nes,199,655,805,1,655.1915517
,264,575,806,2,0
,192,521,807,0,0
"Grapes, fresh",120,416,808,1,416.4144576
,210,775,809,2,0
,87,1404,810,0,0
"Grapes, dried",478,1666,811,1,1665.65783
,839,1347,812,2,0
,349,788,813,0,0
"Grape juice (incl grape must) unferment&unspiritd,wthr/nt sug/sweet",159,555,814,1,555.2192768
,280,567,815,2,0
,116,587,816,0,0
"Grape wines, sparkling",171,595,817,1,594.8777965
,299,563,818,2,0
,125,507,819,0,0
"Grape wines nes,incl fort&grape must,unfermntd by add alc in ctnr</=2l",139,484,820,1,484.2028576
,244,484,821,2,0
,101,484,822,0,0
"Grape wines nes,incl fort&grape must,unfermntd by add alc,in ctnr > 2l",139,484,823,1,484.2028576
,244,484,824,2,0
,101,484,825,0,0
"Grape must nes, unfermented, other than that of heading No 20.09",139,484,826,1,484.2028576
,244,516,827,2,0
,101,572,828,0,0
Vermouth&oth grape wines flav w plants o arom subst in ctnr </= 2 l,171,595,829,1,594.8777965
,299,595,830,2,0
,125,595,831,0,0
Vermouth&oth grape wines flav with plants or arom subst in ctnr > 2 l,171,595,832,1,594.8777965
,299,595,833,2,0
,125,595,834,0,0
"Fermented beverages nes (for example, cider, perry, mead, etc)",171,595,835,1,594.8777965
,299,595,836,2,0
,125,595,837,0,0
Spirits obtained by distilling grape wine or grape marc,171,595,838,1,594.8777965
,299,516,839,2,0
,125,310,840,0,0
Watermelons,92,238,841,1,238.4516556
,94,227,842,2,0
,53,170,843,0,0
Other melons (inc. cantaloupes),80,182,844,1,182.244823
,37,552,845,2,0
,65,1091,846,0,0
"Figs, fresh or dried",450,1211,847,1,1211.245033
,577,3374,848,2,0
,185,3670,849,0,0
"Guavas, mangoes and mangosteens, fresh or dried",2613,3805,850,1,3804.904704
,873,1596,851,2,0
,320,1322,852,0,0
"Avocados, fresh or dried",404,1209,853,1,1208.899401
,599,949,854,2,0
,206,355,855,0,0
"Pineapples, fresh or dried",144,187,856,1,186.9262892
,5,762,857,2,0
,38,781,858,0,0
"Pineapple juice,unfermented&not spiritd,whether or not sugard or sweet",719,935,859,1,934.6314462
,24,533,860,2,0
,191,509,861,0,0
"Dates, fresh or dried",317,474,862,1,474.0490707
,,157,863,2,0
,157,157,864,0,0
,,0,865,1,0
,,195,866,2,0
,,682,867,0,0
Kiwi fruit,195,787,868,1,786.9447845
,487,951,869,2,0
,105,528,870,0,0
"Papaws (papayas), fresh",359,475,871,1,474.8524536
,63,116,872,2,0
,52,52,873,0,0
,,0,874,1,0
,,193,875,2,0
,,489,876,0,0
"Fruits, fresh nes",193,556,877,1,555.6836212
,296,1134,878,2,0
,67,2021,879,0,0
"Fruits, dried nes",771,2223,880,1,2222.734485
,1184,9329,881,2,0
,269,8146,882,0,0
"Coffee, not roasted, not decaffeinated",7877,15704,883,1,15703.5046
,,15704,884,2,0
,7826,15704,885,0,0
"Coffee, not roasted, decaffeinated",7877,15704,886,1,15703.5046
,,17204,887,2,0
,7826,17204,888,0,0
"Coffee, roasted, not decaffeinated",9378,18695,889,1,18694.64833
,,18695,890,2,0
,9317,18695,891,0,0
"Coffee, roasted, decaffeinated",9378,18695,892,1,18694.64833
,,9317,893,2,0
,9317,9317,894,0,0
"Cocoa beans, whole or broken, raw or roasted",,0,895,1,0
,,0,896,2,0
,,0,897,0,0
"Cocoa shells, husks, skins and other cocoa waste",,0,898,1,0
,,0,899,2,0
,,0,900,0,0
Cocoa paste not defatted,,0,901,1,0
,,0,902,2,0
,,0,903,0,0
Cocoa paste wholly or partly defatted,,0,904,1,0
,,0,905,2,0
,,0,906,0,0
"Cocoa butter, fat and oil",,0,907,1,0
,,0,908,2,0
,,0,909,0,0
"Cocoa powder, not containing added sugar or other sweetening matter",,0,910,1,0
,,0,911,2,0
,,0,912,0,0
Chocolate,,0,913,1,0
,,0,914,2,0
,,0,915,0,0
"Cocoa powder, containing added sugar or other sweetening matter",,0,916,1,0
,,0,917,2,0
,,0,918,0,0
,,0,919,1,0
,,0,920,2,0
,,0,921,0,0
Green tea (not fermented) in packages not exceeding 3 kg,,0,922,1,0
,,0,923,2,0
,,0,924,0,0
Green tea (not fermented) in packages exceeding 3 kg,,0,925,1,0
,,0,926,2,0
,,0,927,0,0
Black tea (fermented)&partly fermentd tea in packages not exceedg 3 kg,,0,928,1,0
,,0,929,2,0
,,0,930,0,0
Black tea (fermented) & partly fermented tea in packages exceedg 3 kg,,0,931,1,0
,,917,932,2,0
,,1817,933,0,0
"Hop cones, not ground, powdered or pelleted",917,6920,934,1,6919.668557
,900,6920,935,2,0
,5103,6920,936,0,0
"Hop cones, ground, powdered or pelleted and lupulin",917,6920,937,1,6919.668557
,900,9671,938,2,0
,5103,12370,939,0,0
Hop extract,3669,27679,940,1,27678.67423
,3598,24010,941,2,0
,20412,20412,942,0,0
"Pepper of the genus Piper,ex cubeb pepper,neither crushd nor ground",,0,943,1,0
,,0,944,2,0
,,0,945,0,0
"Pepper of the genus Piper, except cubeb pepper, crushed or ground",,0,946,1,0
,,0,947,2,0
,,0,948,0,0
"Fruits of the genus Capsicum or Pimenta, dried, crushed or ground",,0,949,1,0
,,0,950,2,0
,,0,951,0,0
Vanilla beans,,0,952,1,0
,,0,953,2,0
,,0,954,0,0
Cinnamon and cinnamon-tree flowers neither crushed nor ground,,0,955,1,0
,,0,956,2,0
,,0,957,0,0
Cinnamon and cinnamon-tree flowers crushed or ground,,0,958,1,0
,,0,959,2,0
,,0,960,0,0
"Cloves (whole fruit, cloves and stems)",,0,961,1,0
,,0,962,2,0
,,0,963,0,0
"Nutmeg, Mace, Cardamons",,0,964,1,0
,,0,965,2,0
,,0,966,0,0
Anise or badian seeds,,0,967,1,0
,,0,968,2,0
,,0,969,0,0
Coriander seeds,,0,970,1,0
,,75,971,2,0
,,104,972,0,0
Ginger,75,302,973,1,301.7285689
,30,302,974,2,0
,197,302,975,0,0
Turmeric (curcuma),75,302,976,1,301.7285689
,30,302,977,2,0
,197,302,978,0,0
Curry,75,302,979,1,301.7285689
,30,227,980,2,0
,197,197,981,0,0
Mixtures of two/more of the prods of different headgs to this chapter,,0,982,1,0
,,0,983,2,0
,,0,984,0,0
Spices nes,,0,985,1,0
,,0,986,2,0
,,0,987,0,0
,,0,988,1,0
,,0,989,2,0
,,0,990,0,0
"Flax fibre, raw or retted",,0,991,1,0
,,0,992,2,0
,,0,993,0,0
"Flax fibre, broken or scutched",,0,994,1,0
,,0,995,2,0
,,0,996,0,0
"Flax fibre, otherwise processed but not spun",,0,997,1,0
,,0,998,2,0
,,0,999,0,0
Flax tow and waste (including yarn waste and garnetted stock),,0,1000,1,0
,,0,1001,2,0
,,0,1002,0,0
"True hemp fibre (Cannabis sativa l), raw or retted",,0,1003,1,0
,,0,1004,2,0
,,0,1005,0,0
True hemp fibre otherwise processd but not spun;tow&waste of true hemp,,0,1006,1,0
,,0,1007,2,0
,,0,1008,0,0
"Jute and other textile bast fibres, raw or retted",,0,1009,1,0
,,0,1010,2,0
,,0,1011,0,0
"Jute and other tex bast fib,not spun,nes;tow and waste of these fibres",,0,1012,1,0
,,0,1013,2,0
,,0,1014,0,0
,,0,1015,1,0
,,0,1016,2,0
,,0,1017,0,0
"Ramie & other vegetable textile fibers, raw or processed but not spun; tow, noils & waste of these fibres",,0,1018,1,0
,,0,1019,2,0
,,0,1020,0,0
,,0,1021,1,0
,,0,1022,2,0
,,0,1023,0,0
"Sisal and other textile fibres of the genus Agave, raw",,0,1024,1,0
,,0,1025,2,0
,,0,1026,0,0
Sisal textile fibres processed but not spun;tow&waste of sisal fibres,,0,1027,1,0
,,0,1028,2,0
,,0,1029,0,0
,,0,1030,1,0
,,0,1031,2,0
,,0,1032,0,0
"Abaca fibre, raw",,0,1033,1,0
,,0,1034,2,0
,,0,1035,0,0
"Abaca fibre,processed but not spun;tow,noils and waste of abaca fibres",,0,1036,1,0
,,0,1037,2,0
,,0,1038,0,0
Fibre Crops Nes,,0,1039,1,0
,,0,1040,2,0
,,0,1041,0,0
"Vegetable textile fibres nes, raw",,0,1042,1,0
,,0,1043,2,0
,,0,1044,0,0
"Vegetable tex fib nes,processd nt spun;tow,noils&waste of these fibres",,0,1045,1,0
,,1584,1046,2,0
,,1653,1047,0,0
"Tobacco, unmanufactured, not stemmed or stripped",1584,5875,1048,1,5874.78944
,69,5875,1049,2,0
,4222,5875,1050,0,0
"Tobacco, unmanufactured, partly or wholly stemmed or stripped",1584,5875,1051,1,5874.78944
,69,5875,1052,2,0
,4222,5875,1053,0,0
Tobacco refuse,1584,5875,1054,1,5874.78944
,69,4291,1055,2,0
,4222,4222,1056,0,0
,,0,1057,1,0
,,0,1058,2,0
,,0,1059,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
